No,ステータス,日付,設備補修説明 - 自由記述欄,ロケーション,equipment_id,equipment_name
1,完了,28/06/24,CHM-001-Rリアクターバルブ圧力不足修正,L13RS,CHM-001-R,リアクターバルブ
2,完了,28/06/24,CHM-002-Cコンプレッサー振動異常修理,L14RS,CHM-002-C,コンプレッサー
3,完了,28/06/24,CHM-003-Tタービン冷却システム冷却不足対応,L15RS,CHM-003-T,タービン冷却システム
4,完了,28/06/24,CHM-004-Pポンプシール漏れ修理,L16RS,CHM-004-P,ポンプ
5,実施中,28/06/24,CHM-005-V真空ユニット真空不足修正,L17RS,CHM-005-V,真空ユニット
6,完了,28/06/24,CHM-006-S蒸留塔 温度センサー故障交換,L18RS,CHM-006-S,蒸留塔
7,完了,26/06/24,CHM-007-Lローラーベアリング摩耗修理,L19RS,CHM-007-L,ローラーベアリング
8,実施中,26/06/24,CHM-008-H熱交換器ヒートポンプ故障修理,L20RS,CHM-008-H,熱交換器
9,完了,26/06/24,CHM-009-Mモーター起動不良電源ユニット交換,L21RS,CHM-009-M,モーター
10,完了,26/06/24,CHM-010-Gガス検知器感度調整,L22RS,CHM-010-G,ガス検知器
